Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep
1034,2023-03-01,Charlie,West,2842.42,45,Food,2013.12,2321.87,New,0.18,Bank Transfer,Retail,West-Charlie
1029,2023-03-01,David,East,6773.89,28,Clothing,2873.53,3108.3,New,0.15,Credit Card,Retail,East-David
1041,2023-03-01,Charlie,East,4170.8,44,Electronics,3288.39,3391.46,New,0.05,Credit Card,Retail,East-Charlie
1058,2023-03-02,Eve,West,9333.83,39,Food,3542.8,3603.02,Returning,0.26,Cash,Online,West-Eve
1058,2023-03-02,Eve,East,5463.43,49,Furniture,1307.22,1528.4,Returning,0.24,Cash,Retail,East-Eve
1023,2023-03-02,David,West,1260.32,39,Food,4450.61,4663.339999999999,New,0.24,Cash,Retail,West-David
1035,2023-03-03,Bob,West,2494.74,47,Electronics,2936.48,3096.64,New,0.06,Bank Transfer,Online,West-Bob
1095,2023-03-03,Eve,East,6518.35,16,Electronics,3591.05,3625.35,Returning,0.05,Credit Card,Retail,East-Eve
1007,2023-03-03,Eve,West,4694.54,1,Food,2543.26,2637.9100000000003,Returning,0.2,Credit Card,Online,West-Eve
1089,2023-03-03,Charlie,North,2122.73,4,Furniture,4117.67,4280.06,Returning,0.18,Bank Transfer,Online,North-Charlie
1009,2023-03-04,David,East,198.79,1,Clothing,3223.07,3590.83,New,0.19,Bank Transfer,Retail,East-David
1099,2023-03-04,David,East,7952.11,10,Furniture,1531.2,1955.56,New,0.0,Credit Card,Online,East-David
1094,2023-03-04,Bob,North,3992.63,49,Food,615.47,715.84,Returning,0.21,Credit Card,Retail,North-Bob
1070,2023-03-04,Bob,South,8771.24,15,Electronics,3653.66,3896.19,New,0.03,Credit Card,Retail,South-Bob
1033,2023-03-04,Bob,West,8499.41,14,Clothing,362.38,753.81,Returning,0.19,Cash,Retail,West-Bob
1050,2023-03-05,Bob,North,9755.9,20,Electronics,3318.92,3785.91,New,0.24,Bank Transfer,Online,North-Bob
1058,2023-03-05,Eve,North,252.41,48,Furniture,2596.72,2715.05,Returning,0.04,Cash,Online,North-Eve
1024,2023-03-06,Alice,South,9602.64,35,Electronics,1258.53,1624.89,New,0.08,Credit Card,Online,South-Alice
